,precision,recall,f1-score,support
1,0.6797163120567375,0.7273831208257437,0.7027423375861562,3294.0
2,0.5672289156626507,0.51040763226366,0.5373202465190596,2306.0
accuracy,0.6380357142857143,0.6380357142857143,0.6380357142857143,0.6380357142857143
macro avg,0.6234726138596941,0.6188953765447018,0.6200312920526079,5600.0
weighted avg,0.6333956091844581,0.6380357142857143,0.6346238836574554,5600.0
