,precision,recall,f1-score,support
1,0.7332635983263598,0.5713121434392828,0.6422354557947779,2454.0
2,0.5244618395303327,0.319047619047619,0.3967431532198371,840.0
3,0.5539817437834434,0.7632263660017347,0.6419843151559365,2306.0
accuracy,0.6125,0.6125,0.6125,0.6125
macro avg,0.6039023938800453,0.5511953761628788,0.560320974723517,5600.0
weighted avg,0.6281176279755334,0.6125,0.6053081942811853,5600.0
