,precision,recall,f1-score,support
1,0.7648465524113193,0.5825743776563449,0.6613820437704635,3294.0
2,0.5551601423487544,0.7441457068516912,0.6359088382434686,2306.0
accuracy,0.6491071428571429,0.6491071428571429,0.6491071428571429,0.6491071428571429
macro avg,0.6600033473800369,0.663360042254018,0.648645441006966,5600.0
weighted avg,0.6785006842676988,0.6491071428571429,0.6508925416373831,5600.0
