,precision,recall,f1-score,support
1,0.6556291390728477,0.6040677966101695,0.6287932251235004,2950.0
2,0.5846153846153846,0.18827415359207267,0.2848219862585884,1211.0
3,0.5929743374000841,0.7616860308024859,0.6668243642814903,3701.0
accuracy,0.6142203001780717,0.6142203001780717,0.6142203001780717,0.6142203001780717
macro avg,0.6110729536961056,0.5180093270015761,0.5268131918878597,7862.0
weighted avg,0.615196287681486,0.6142203001780717,0.5937136112540412,7862.0
