,precision,recall,f1-score,support
1,0.8733624454148472,0.9311606252078484,0.9013359085787864,3007.0
2,0.7958579881656804,0.6652926628194559,0.7247418051189941,1213.0
accuracy,0.854739336492891,0.854739336492891,0.854739336492891,0.854739336492891
macro avg,0.8346102167902638,0.7982266440136521,0.8130388568488902,4220.0
weighted avg,0.8510845054519943,0.854739336492891,0.850575565570083,4220.0
