,precision,recall,f1-score,support
1,0.6600932233775547,0.6182001343183344,0.6384602046124502,2978.0
2,0.6334310850439883,0.17647058823529413,0.276038338658147,1224.0
3,0.5944632290786137,0.7685792349726775,0.6704003813155386,3660.0
accuracy,0.6194352582040193,0.6194352582040193,0.6194352582040193,0.6194352582040193
macro avg,0.6293291791667189,0.5210833191754354,0.5282996415287119,7862.0
weighted avg,0.6253895555507409,0.6194352582040193,0.5969054708049248,7862.0
