,precision,recall,f1-score,support
1,0.8199504775380262,0.9445802770986145,0.8778640409013445,2454.0
2,0.708779443254818,0.39404761904761904,0.5065034429992349,840.0
accuracy,0.8041894353369763,0.8041894353369763,0.8041894353369763,0.8041894353369763
macro avg,0.7643649603964221,0.6693139480731167,0.6921837419502896,3294.0
weighted avg,0.7916008513091571,0.8041894353369763,0.7831637062814987,3294.0
