epoch,acc,loss,lr,val_acc,val_loss
0,0.56950754,0.9071198295034887,0.01,0.6410854458808899,0.784083043300729
1,0.64937305,0.7609866722462374,0.01,0.6416154503822327,0.7785611302513477
2,0.6907596,0.6903637296153095,0.01,0.5995336174964905,0.823091835055231
