,precision,recall,f1-score,support
1,0.6306807286673058,0.784964200477327,0.6994152046783626,4190.0
2,0.6596146581035134,0.47549019607843135,0.5526190852983066,3672.0
accuracy,0.6404222844060036,0.6404222844060036,0.6404222844060036,0.6404222844060036
macro avg,0.6451476933854097,0.6302271982778791,0.6260171449883346,7862.0
weighted avg,0.6441945150943923,0.6404222844060036,0.6308530893942663,7862.0
