,precision,recall,f1-score,support
1,0.8128022759601707,0.960013440860215,0.8802957941765521,2976.0
2,0.8312056737588652,0.47106109324758844,0.6013340174448435,1244.0
accuracy,0.8158767772511848,0.8158767772511848,0.8158767772511848,0.8158767772511848
macro avg,0.822003974859518,0.7155372670539017,0.7408149058106979,4220.0
weighted avg,0.8182273534155206,0.8158767772511848,0.7980615642584844,4220.0
